triplet_id,category,validator_model,overall,language_verdict,language_reasoning,minimal_pair_verdict,minimal_pair_reasoning,contrast_feature_verdict,contrast_feature_reasoning,translation_verdict,translation_reasoning,naturalness_verdict,naturalness_reasoning
hi_kin_011,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"The source sentences are in Hindi, and the English translations are in English. The kinship terms 'ताऊ जी' (tau ji) and 'मामा जी' (mama ji) are correct for Hindi. Language tags are accurate.",pass,"Anchor and near differ only in the verb ('आए' vs 'पधारे'), both keeping 'ताऊ जी'. Far swaps 'ताऊ जी' for 'मामा जी' with the rest unchanged. This is a minimal pair structure.",pass,"Anchor and near both use 'ताऊ जी' (elder paternal uncle), while far uses 'मामा जी' (maternal uncle). The contrast is strictly between paternal and maternal uncle, as required.",pass,"All three English sentences use 'My uncle came to our house yesterday', collapsing the paternal/maternal distinction as intended for strong flattening. No leakage of the contrast into English.",pass,All Hindi sentences are natural and idiomatic. The use of 'पधारे' as an honorific is appropriate and common.
hi_kin_012,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms used (दादा जी, नाना जी) are appropriate for Hindi.",pass,"Anchor and near differ only in the verb (सुनाते हैं vs बताते हैं), both keeping 'दादा जी'. Far swaps 'दादा जी' (paternal grandfather) for 'नाना जी' (maternal grandfather) with the rest unchanged. This is a minimal pair structure.",pass,"The contrast is between 'दादा जी' (paternal grandfather) and 'नाना जी' (maternal grandfather), which is the intended kinship distinction. Anchor and near both use 'दादा जी', while far uses 'नाना जी'.",pass,"All English translations use 'Grandfather', which collapses the paternal/maternal distinction as intended for a strong-flattening probe. There is no leakage of the source distinction into English.",pass,"All Hindi sentences are natural and idiomatic. Both verbs (सुनाते हैं, बताते हैं) are plausible with 'कहानियाँ' (stories)."
hi_kin_013,kinship_paternal_maternal,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The kinship terms (chachi, mami) are Hindi-specific and used correctly.",pass,"Anchor and near differ only in the adjective (samajhdar/buddhiman), both keeping 'meri chachi'. Far swaps 'meri chachi' to 'meri mami' but keeps the rest of the sentence identical to anchor.",pass,"The contrast is between 'chachi' (paternal uncle's wife) and 'mami' (maternal uncle's wife), which is the intended kinship distinction. Anchor and near use the same term; far swaps to the corresponding maternal counterpart.",pass,"All English translations use 'aunt', which collapses the distinction between 'chachi' and 'mami', as required for strong flattening. Anchor_en and far_en are identical, and near_en only differs in the adjective, matching the source minimal pair.",pass,All Hindi sentences are natural and idiomatic. The adjectives 'समझदार' (wise) and 'बुद्धिमान' (intelligent) are appropriate and commonly used.
hi_age_001,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in 'स्कूल' (school) vs 'विद्यालय' (school), both keeping 'मेरा बड़ा भाई'. Far swaps 'बड़ा' (elder) for 'छोटा' (younger), keeping the rest the same as anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'बड़ा भाई' (elder brother). Far uses 'छोटा भाई' (younger brother), flipping the relative-age modifier as required by the category.",pass,"The English translations preserve the elder/younger distinction ('elder brother' vs 'younger brother'), so the contrast is not flattened. However, the flattening intent is 'partial', and the English default is to collapse to 'brother', but here the distinction is preserved. This is a partial flattening case, so this is acceptable, but not ideal for strong flattening. Verdict: pass for partial flattening intent.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
hi_age_002,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. The language tags are accurate.",pass,"Anchor and near differ only in the word for 'doctor' (डॉक्टर vs चिकित्सक), both keeping 'मेरी बड़ी बहन'. Far changes 'बड़ी' (elder) to 'छोटी' (younger) while keeping the rest of the sentence structure the same as anchor.",pass,"Anchor and near both use 'बड़ी बहन' (elder sister), while far uses 'छोटी बहन' (younger sister), correctly flipping the relative-age modifier as required by the category.",pass,"The English translations preserve the elder/younger distinction ('elder sister' vs 'younger sister'), so the contrast is not fully flattened. However, the flattening intent is declared as 'partial', which allows for this. There is no leakage beyond what is permitted for partial flattening.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_003,kinship_relative_age,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi and all English sentences are in English, matching the declared languages.",pass,"Anchor and near differ only in the verb phrase (khana khaya vs bhojan kiya), both keep 'chhote bhai'. Far swaps 'chhote bhai' for 'bade bhai' but keeps the rest of the sentence identical to anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'छोटे भाई' (younger brother), while far uses 'बड़े भाई' (elder brother). The contrast is correctly implemented as a flip of the relative-age modifier on the same kinship term.",pass,"The English translations use 'Younger brother' for anchor/near and 'Elder brother' for far. This partially preserves the contrast, but since the flattening intent is 'partial', this is acceptable. The default English translation would collapse to 'brother', but the partial flattening allows for explicit marking as in this example.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_004,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in 'राय' (raai) vs 'सलाह' (salaah), both meaning 'advice', with 'बड़ी बहन' (elder sister) unchanged. Far swaps 'बड़ी बहन' (elder sister) to 'छोटी बहन' (younger sister), keeping 'राय' (raai). Minimal pair structure is correct.",pass,"Anchor and near both use 'बड़ी बहन' (elder sister); far uses 'छोटी बहन' (younger sister). The elder/younger modifier is flipped only in far, as required.",pass,"Anchor_en and near_en both use 'Elder sister', while far_en uses 'Younger sister'. This partially preserves the Hindi distinction in English, which matches the declared 'partial' flattening intent. No over- or under-flattening.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_005,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in the predicate (pasand/priya), both keeping 'छोटी बहन'. Far swaps 'छोटी' (younger) for 'बड़ी' (elder) on the same kinship term, with the rest unchanged from anchor.",pass,Anchor and near both use 'छोटी बहन' (younger sister); far uses 'बड़ी बहन' (elder sister). The contrast is correctly implemented as a flip of the relative-age modifier.,pass,"English translations use 'younger sister' and 'elder sister', which partially preserve the Hindi distinction. This matches the declared 'partial' flattening intent, as English can express but does not default to this distinction. No leakage beyond the intent.",pass,All Hindi sentences are natural and idiomatic. The use of 'प्रिय' for 'fond of' is less common but still acceptable in this context.
hi_age_006,kinship_relative_age,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi and all English sentences are in English, matching the declared languages.",pass,"Anchor and near differ only in 'shaadi' vs 'vivaah' (synonyms for 'marriage'), both use 'बड़े भाई' (elder brother). Far swaps 'बड़े भाई' (elder brother) for 'छोटे भाई' (younger brother), keeping the rest identical to anchor.",pass,"Anchor and near both use 'बड़े भाई' (elder brother); far uses 'छोटे भाई' (younger brother), flipping the relative-age modifier as required.",pass,"The English translations preserve the elder/younger distinction ('Elder brother' vs 'Younger brother'), so the contrast is not fully flattened. However, the flattening intent is declared as 'partial', which allows for this. There is no leakage beyond what is permitted for partial flattening.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_007,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. The kinship terms used (दीदी, छोटी बहन) are appropriate for Hindi.",pass,"Anchor and near differ only in the verb phrase (आ रही है vs आने वाली है), both using दीदी. Far swaps दीदी for छोटी बहन, keeping the rest of the sentence structure parallel to anchor.",pass,"Anchor and near both use दीदी (elder sister). Far uses छोटी बहन (younger sister), flipping the relative-age modifier as required by the category.",pass,"The English translations do not collapse the distinction: anchor_en and near_en both say 'elder sister', while far_en says 'younger sister'. Since the flattening intent is 'partial', this is acceptable, as English can optionally express the distinction. No leakage beyond what is allowed for partial flattening.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_008,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and English translations are in English. The kinship terms used (भैया, छोटे भाई) are appropriate for Hindi.",pass,"Anchor and near both use 'भैया' (elder brother), differing only in the verb ('दी' vs 'दिलाई'). Far swaps 'भैया' for 'छोटे भाई' (younger brother), keeping the rest of the sentence the same as anchor. This is a minimal pair structure.",pass,"Anchor and near both refer to 'भैया' (elder brother), while far switches to 'छोटे भाई' (younger brother). The contrast is correctly implemented as a flip of the relative-age modifier on the same kinship term.",pass,"The English translations for anchor and near use 'Elder brother', and far uses 'Younger brother'. This partially preserves the Hindi distinction, which matches the declared 'partial' flattening intent. There is no over-flattening or over-disambiguation.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_age_009,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in 'घर' (ghar) vs 'मकान' (makaan), both meaning 'house'. Anchor and far differ in 'बड़े' (elder) vs 'छोटे' (younger) for 'भाई' (brother), with the rest of the sentence unchanged.",pass,"Anchor and near both use 'बड़े भाई' (elder brother), while far uses 'छोटे भाई' (younger brother), correctly flipping the relative-age modifier as required.",pass,"The English translations for anchor and near both use 'Elder brother's house', while far uses 'Younger brother's house'. This partially preserves the contrast, which matches the declared 'partial' flattening intent. No over- or under-translation is present.",pass,All Hindi sentences are natural and idiomatic. The use of 'घर' and 'मकान' is appropriate and the sentences are clear.
hi_age_010,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in 'शादी' vs 'विवाह' (synonyms for 'marriage'), both use 'मेरी बड़ी बहन' (my elder sister). Far swaps 'बड़ी' (elder) for 'छोटी' (younger), keeping the rest identical to anchor. Minimal pair structure is correct.",pass,"Anchor and near both use 'बड़ी बहन' (elder sister); far uses 'छोटी बहन' (younger sister). The elder/younger modifier is the only contrast between anchor and far, as required.",pass,"English translations for anchor and near are 'My elder sister got married first'; far is 'My younger sister got married first'. The partial-flattening intent is respected: English can express the distinction, but it is not the default. Here, the translations do not collapse the distinction, but this is acceptable for partial flattening.",pass,All Hindi sentences are natural and idiomatic. The use of 'शादी' and 'विवाह' is appropriate and common.
hi_age_011,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in the predicate (pasand/priya), both keeping 'छोटे भाई' (younger brother). Far swaps 'छोटे भाई' (younger brother) for 'बड़े भाई' (elder brother), keeping the rest of the sentence structure parallel.",pass,Anchor and near both use 'छोटे' (younger) as the modifier on 'भाई' (brother). Far flips to 'बड़े' (elder) on the same kinship term. The contrast is correctly implemented.,pass,"Anchor_en and near_en both use 'Younger brother', while far_en uses 'Elder brother'. This is a partial flattening: English can express the distinction, but the default would be 'brother'. The translations are faithful and do not leak extra information beyond the partial flattening intent.",pass,"All Hindi sentences are natural and idiomatic. The use of 'प्रिय' for 'fond of' is less common than 'पसंद', but still acceptable and natural in Hindi."
hi_age_012,kinship_relative_age,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in 'रोज़' vs 'प्रतिदिन' (both mean 'daily'), with 'बड़ी बहन' (elder sister) and the rest of the sentence identical. Far swaps 'बड़ी बहन' (elder sister) for 'छोटी बहन' (younger sister), keeping the rest the same as anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use 'बड़ी बहन' (elder sister). Far uses 'छोटी बहन' (younger sister), flipping the relative-age modifier as required by the category. The contrast is correctly implemented.",pass,"The English translations for anchor and near are 'Elder sister does yoga daily', and for far, 'Younger sister does yoga daily'. This partially preserves the contrast (elder/younger) in English, which matches the declared partial flattening intent. There is no over- or under-flattening.",pass,All Hindi sentences are natural and idiomatic. The English translations are also natural.
hi_vga_001,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi and all English translations are in English, matching the claimed languages.",pass,"Anchor↔near differ only in the destination noun (bazar/shop), both keep 'gayi' (fem.). Anchor↔far differ only in verb gender: 'gayi' (fem.) vs 'gaya' (masc.), with all else identical.",pass,Anchor and near both use 'gayi' (fem. verb form). Far flips to 'gaya' (masc. verb form) with the same subject 'main' (gender-neutral) and same destination as anchor. This matches the intended gender agreement contrast.,pass,"All English translations use 'I went...', which is gender-neutral and does not encode the verb gender distinction. Anchor_en and far_en are identical, as required for strong flattening.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
hi_vga_002,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,"Anchor and near differ only in the intensifier (बहुत/काफी), both use 'थकी' (feminine). Far swaps 'थकी' (feminine) for 'थका' (masculine) while keeping the rest of the sentence identical to anchor, as required.",pass,"Anchor and near both use 'थकी' (feminine verb form), while far uses 'थका' (masculine verb form) with the same gender-neutral subject 'मैं'. This directly tests the verb gender agreement contrast.",pass,"All English translations use 'I am very/quite tired', which does not encode the gender distinction present in the Hindi verbs. There is no leakage of the contrast into English, as required for strong flattening.",pass,All Hindi sentences are natural and idiomatic for expressing tiredness with a gender-neutral subject. No issues detected.
hi_vga_003,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The language tags are correct.",pass,"Anchor and near differ only in 'स्कूल' vs 'विद्यालय', both meaning 'school'. Anchor and far differ only in the verb ending: 'गई' (fem.) vs 'गया' (masc.), with all other elements held constant.",pass,"Anchor and near both use the feminine verb form 'गई', while far uses the masculine 'गया'. The subject 'मैं' is gender-neutral, so the only gender cue is the verb, as required.",pass,"All English translations are identical ('I reached school'), so the gender distinction present in Hindi is flattened in English as intended. No leakage of the contrast.",pass,"All Hindi sentences are natural and idiomatic. Both 'स्कूल' and 'विद्यालय' are standard words for 'school', and the verb forms are correct."
hi_vga_004,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,"Anchor and near differ only by 'बहुत' (very) vs 'अत्यंत' (extremely), both keeping 'थी' (fem. copula). Far swaps 'थी' (fem.) to 'था' (masc.) with the rest of the sentence matching anchor except for the verb gender. Minimal pair structure is preserved.",pass,"Anchor and near both use 'थी' (feminine copula), while far uses 'था' (masculine copula). The subject 'मैं' is gender-neutral, so the only gender cue is the verb, as required. The contrast is correctly encoded.",pass,"All English translations use 'I was ... happy yesterday', which does not encode the gender distinction present in the Hindi verbs. No leakage of the contrast into English; flattening is strong as intended.",pass,All Hindi sentences are natural and idiomatic. No awkwardness or ungrammaticality detected.
hi_vga_005,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,"Anchor and near differ only in the verb (उठी/जागी), both feminine forms. Far changes the verb to उठा (masculine), keeping the rest of the sentence identical to anchor. Minimal pair structure is preserved.",pass,"Anchor and near both use feminine verb forms (उठी, जागी) with the gender-neutral subject मैं. Far uses the masculine verb form (उठा) with the same subject and context, correctly flipping only the verb gender.",pass,"All English translations are identical ('I got up late'), flattening the gender distinction present in the Hindi verbs. No gender information is preserved in English, as required for strong flattening.",pass,All Hindi sentences are natural and idiomatic for the intended meaning.
hi_vga_006,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. The language tags are correct.",pass,"Anchor and near differ only in the verb (rah gayi vs bach gayi), both keep 'main akeli' and feminine verb agreement. Far changes both the adjective (akeli→akela) and the verb (gayi→gaya), flipping to masculine, but otherwise keeps the structure minimal.",pass,"Anchor and near both use feminine agreement (akeli...gayi), while far uses masculine (akela...gaya). The subject 'main' is gender-neutral, so the only gender cue is in the adjective and verb, as required.",pass,"All English translations use gender-neutral 'I was left alone' or similar, with no indication of gender. Anchor_en and far_en are identical, as required for strong flattening. No leakage of the gender distinction into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
hi_vga_007,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,Anchor and near differ only in the verb root (dar/ghabara) but keep the same verb gender (gaya). Far changes only the verb gender (gayi) while keeping the verb root (dar) and the subject (main) the same as anchor.,pass,"Anchor and near both use the masculine verb form (gaya) with the gender-neutral subject 'main'. Far flips the verb gender to feminine (gayi) with the same subject and verb root as anchor, correctly isolating the gender agreement contrast.",pass,"All English translations use 'I got scared' or 'I got nervous', which do not encode the gender of the subject. The gender distinction present in Hindi is flattened in English, as required for strong flattening intent.",pass,All Hindi sentences are natural and idiomatic. No awkwardness or ungrammaticality detected.
hi_vga_008,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi and all English translations are in English, matching the claimed languages.",pass,"Anchor and near differ only in the verb used (लौटा vs वापस आया), both masculine forms. Far changes लौटा (masc.) to लौटी (fem.), keeping the rest of the sentence identical to anchor.",pass,"Anchor and near both use masculine verb forms with the gender-neutral subject 'मैं'. Far flips the verb to the feminine form (लौटी), satisfying the contrast requirement.",pass,"All English translations are gender-neutral ('I returned from college', 'I came back from college'), so the gender distinction is flattened as intended.",pass,All Hindi sentences are natural and idiomatic. The verb forms and constructions are standard.
hi_vga_009,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,"Anchor and near differ only in the adjective (बीमार/अस्वस्थ), both with the same verb form (हो गई). Far changes only the verb gender (ho गई → ho गया) while keeping the rest of the sentence identical to anchor.",pass,"Anchor and near both use the feminine verb form (गई), while far uses the masculine form (गया) with the same subject (मैं), which is gender-neutral. This matches the intended contrast.",pass,"All English translations use gender-neutral 'I' and do not reflect the gender distinction present in the Hindi verbs. Anchor_en and far_en are identical, as required for strong flattening.",pass,All Hindi sentences are natural and idiomatic. The verb forms and adjectives are appropriate and commonly used.
hi_vga_010,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All Hindi sentences are in correct Hindi, and all English sentences are in correct English. Language tags are accurate.",pass,"Anchor and near differ only in the verb (chala gaya vs nikal gaya), both masculine. Far changes chala gaya (masc.) to chali gayi (fem.), keeping the rest of the sentence identical to anchor. This is a proper minimal pair structure.",pass,"Anchor and near both use masculine verb forms (gaya), while far uses the feminine form (gayi), with the subject 'main' (gender-neutral). The only difference between anchor and far is the verb gender, as required.",pass,"All English translations use gender-neutral 'I' and do not reflect the gender distinction present in the Hindi verbs. Anchor_en and far_en are identical, as required for strong flattening.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
hi_vga_011,verb_gender_agreement,gpt-4.1,auto_validated,pass,"All source sentences are in Hindi, and all English translations are in English. Language tags are correct.",pass,"Anchor and near differ only in aspect (soyi vs soti rahi), both feminine. Far swaps soyi (fem.) for soya (masc.) with the rest of the sentence unchanged. Minimal pair structure is preserved.",pass,"Anchor and near both use feminine verb forms (soyi, soti rahi) with the gender-neutral subject 'main'. Far uses the masculine verb form (soya) with the same subject and context, correctly flipping the verb gender.",pass,"All English translations use 'I' (gender-neutral) and 'slept' or 'kept sleeping', which do not encode gender. Anchor_en and far_en are identical, as required for strong flattening. No leakage of the gender distinction into English.",pass,All Hindi sentences are natural and idiomatic. No awkwardness detected.
